"","Dataset","Method","Algorithm","F1","Acc"
"122","23381","missForest","svm",0.76,0.64
"123","23381","missForest","rf",0.721804511278195,0.63
"124","27","missForest","xgb",0.772727272727273,0.864864864864865
"125","27","missForest","log_reg",0.808510638297872,0.878378378378378
"126","27","missForest","svm",0.782608695652174,0.864864864864865
"127","27","missForest","rf",0.755555555555556,0.851351351351351
"128","29","missForest","xgb",0.862745098039216,0.847826086956522
"129","29","missForest","log_reg",0.868965517241379,0.86231884057971
"130","29","missForest","svm",0.89041095890411,0.884057971014493
"131","29","missForest","rf",0.885906040268456,0.876811594202899
"132","38","missForest","xgb",0.990070921985816,0.981456953642384
"133","38","missForest","log_reg",0.968901174844506,0.940397350993378
"134","38","missForest","svm",0.978571428571429,0.960264900662252
"135","38","missForest","rf",0.991501416430595,0.984105960264901
"136","4","missForest","xgb",0,0.75
"137","4","missForest","log_reg",0.5,0.833333333333333
"138","4","missForest","svm",0.8,0.916666666666667
"139","4","missForest","rf",0.5,0.833333333333333
"140","40536","missForest","xgb",1,1
"141","40536","missForest","log_reg",1,1
"142","40536","missForest","svm",1,1
"143","40536","missForest","rf",0.999285714285714,0.998806682577566
"144","41278","missForest","xgb",0.88640641126829,0.796231757786975
"145","41278","missForest","log_reg",0.887002909796314,0.796994118928338
"146","41278","missForest","svm",0.887042987934275,0.797103027662819
"147","41278","missForest","rf",0.888252498172069,0.800261380962753
"148","55","missForest","xgb",0.266666666666667,0.645161290322581
"149","55","missForest","log_reg",0.444444444444444,0.838709677419355
"150","55","missForest","svm",0.571428571428572,0.903225806451613
"151","55","missForest","rf",0.571428571428572,0.903225806451613
"152","56","missForest","xgb",0.97029702970297,0.96551724137931
"153","56","missForest","log_reg",0.980392156862745,0.977011494252874
"154","56","missForest","svm",0.980392156862745,0.977011494252874
"155","56","missForest","rf",0.980392156862745,0.977011494252874
"156","6332","missForest","xgb",0.574712643678161,0.657407407407407
"157","6332","missForest","log_reg",0.545454545454546,0.675925925925926
"158","6332","missForest","svm",0.701298701298701,0.787037037037037
"159","6332","missForest","rf",0.759493670886076,0.824074074074074
"160","944","missForest","xgb",0.692307692307692,0.692307692307692
"161","944","missForest","log_reg",0.774193548387097,0.730769230769231
"162","944","missForest","svm",0.8125,0.769230769230769
"163","944","missForest","rf",0.758620689655172,0.730769230769231
"164","1018","VIM","xgb",0.0806451612903226,0.935556811758055
"165","1018","VIM","log_reg",0.0181818181818182,0.938948558507631
"166","1018","VIM","svm",0.018348623853211,0.939513849632561
"167","1018","VIM","rf",0,0.938948558507631
"168","1590","VIM","xgb",0.907982472851972,0.851673661582557
"169","1590","VIM","log_reg",0.901111463956812,0.84061828232163
"170","1590","VIM","svm",0.90577157132791,0.849421639881257
"171","1590","VIM","rf",0.911022405356683,0.858532091309244
"172","188","VIM","xgb",0.851851851851852,0.837837837837838
"173","188","VIM","log_reg",0.898203592814371,0.885135135135135
"174","188","VIM","svm",0.9125,0.905405405405405
"175","188","VIM","rf",0.91358024691358,0.905405405405405
"176","23381","VIM","xgb",0.700729927007299,0.59
"177","23381","VIM","log_reg",0.733812949640288,0.63
"178","23381","VIM","svm",0.761904761904762,0.65
"179","23381","VIM","rf",0.711111111111111,0.61
"180","29","VIM","xgb",0.776470588235294,0.72463768115942
"181","29","VIM","log_reg",0.876712328767123,0.869565217391304
"182","29","VIM","svm",0.905405405405405,0.898550724637681
"183","29","VIM","rf",0.887417218543046,0.876811594202899
"184","38","VIM","xgb",0.975817923186344,0.954966887417219
"185","38","VIM","log_reg",0.966136834830684,0.935099337748344
"186","38","VIM","svm",0.969175627240143,0.943046357615894
"187","38","VIM","rf",0.98314606741573,0.968211920529801
"188","40536","VIM","xgb",1,1
"189","40536","VIM","log_reg",1,1
"190","40536","VIM","svm",1,1
"191","40536","VIM","rf",0.999642729546267,0.999403341288783
"192","41278","VIM","xgb",0.888320545609548,0.800261380962753
"193","41278","VIM","log_reg",0.886895381258334,0.796776301459377
"194","41278","VIM","svm",0.887163309876244,0.79742975386626
"195","41278","VIM","rf",0.887884157145476,0.800152472228273
"196","55","VIM","xgb",0.333333333333333,0.870967741935484
"197","55","VIM","log_reg",0.444444444444444,0.838709677419355
"198","55","VIM","svm",0.571428571428572,0.903225806451613
"199","55","VIM","rf",0.5,0.870967741935484
"200","944","VIM","xgb",0.692307692307692,0.692307692307692
"201","944","VIM","log_reg",0.774193548387097,0.730769230769231
"202","944","VIM","svm",0.8125,0.769230769230769
"203","944","VIM","rf",0.758620689655172,0.730769230769231
"205","188","softimpute","xgb",0.825806451612903,0.817567567567568
"206","188","softimpute","log_reg",0.902439024390244,0.891891891891892
"207","188","softimpute","svm",0.906832298136646,0.898648648648649
"208","188","softimpute","rf",0.858974358974359,0.851351351351351
"209","188","missmda","xgb",0.855345911949686,0.844594594594595
"210","188","missmda","log_reg",0.833333333333333,0.824324324324324
"211","188","missmda","svm",0.853333333333333,0.851351351351351
"212","188","missmda","rf",0.834437086092715,0.831081081081081
"213","23381","missmda","xgb",0.751592356687898,0.61
"214","23381","missmda","log_reg",0.767123287671233,0.66
"215","23381","missmda","svm",0.736111111111111,0.62
"216","23381","missmda","rf",0.780821917808219,0.68
"217","27","softimpute","xgb",0.636363636363636,0.783783783783784
"218","27","softimpute","log_reg",0.723404255319149,0.824324324324324
"219","27","softimpute","svm",0.790697674418605,0.878378378378378
"220","27","softimpute","rf",0.765957446808511,0.851351351351351
"221","27","missmda","xgb",0.666666666666667,0.756756756756757
"222","27","missmda","log_reg",0.727272727272727,0.837837837837838
"223","27","missmda","svm",0.739130434782609,0.837837837837838
"224","27","missmda","rf",0.755555555555556,0.851351351351351
"225","29","softimpute","xgb",0.882758620689655,0.876811594202899
"226","29","softimpute","log_reg",0.891891891891892,0.884057971014493
"227","29","softimpute","svm",0.89041095890411,0.884057971014493
"228","29","softimpute","rf",0.876712328767123,0.869565217391304
"229","29","missmda","xgb",0.874172185430464,0.86231884057971
"230","29","missmda","log_reg",0.876712328767123,0.869565217391304
"231","29","missmda","svm",0.857142857142857,0.855072463768116
"232","29","missmda","rf",0.88,0.869565217391304
"233","38","softimpute","xgb",0.987968860580326,0.977483443708609
"234","38","softimpute","log_reg",0.973084886128364,0.948344370860927
"235","38","softimpute","svm",0.977713874910137,0.958940397350993
"236","38","softimpute","rf",0.99078667611623,0.982781456953642
"237","4","softimpute","xgb",0.666666666666667,0.833333333333333
"238","4","softimpute","log_reg",0.857142857142857,0.916666666666667
"239","4","softimpute","svm",0.857142857142857,0.916666666666667
"240","4","softimpute","rf",0.857142857142857,0.916666666666667
"241","40536","softimpute","xgb",1,1
"242","40536","softimpute","log_reg",1,1
"243","40536","softimpute","svm",1,1
"244","40536","softimpute","rf",1,1
"245","40536","missmda","xgb",1,1
"246","40536","missmda","log_reg",1,1
"247","40536","missmda","svm",0.997858672376874,0.996420047732697
"248","40536","missmda","rf",0.998216196931859,0.997016706443914
"249","55","softimpute","xgb",0,0.870967741935484
"250","55","softimpute","log_reg",0.5,0.870967741935484
"251","55","softimpute","svm",0.666666666666667,0.935483870967742
"252","55","softimpute","rf",0.571428571428572,0.903225806451613
"253","55","missmda","xgb",0.25,0.806451612903226
"254","55","missmda","log_reg",0.5,0.870967741935484
"255","55","missmda","svm",0.571428571428572,0.903225806451613
"256","55","missmda","rf",0.5,0.870967741935484
"257","56","missmda","xgb",0.97029702970297,0.96551724137931
"258","56","missmda","log_reg",0.95049504950495,0.942528735632184
"259","56","missmda","svm",0.97029702970297,0.96551724137931
"260","56","missmda","rf",0.97029702970297,0.96551724137931
"261","6332","softimpute","xgb",0.48780487804878,0.611111111111111
"262","6332","softimpute","log_reg",0.48780487804878,0.611111111111111
"263","6332","softimpute","svm",0.746666666666667,0.824074074074074
"264","6332","softimpute","rf",0.814814814814815,0.861111111111111
"265","6332","missmda","xgb",0.586666666666667,0.712962962962963
"266","6332","missmda","log_reg",0.578947368421053,0.703703703703704
"267","6332","missmda","svm",0.701298701298701,0.787037037037037
"268","6332","missmda","rf",0.72,0.805555555555556
"269","944","softimpute","xgb",0.8125,0.769230769230769
"270","944","softimpute","log_reg",0.774193548387097,0.730769230769231
"271","944","softimpute","svm",0.8125,0.769230769230769
"272","944","softimpute","rf",0.758620689655172,0.730769230769231
"273","944","missmda","xgb",0.666666666666667,0.653846153846154
"274","944","missmda","log_reg",0.774193548387097,0.730769230769231
"275","944","missmda","svm",0.733333333333333,0.692307692307692
"276","944","missmda","rf",0.733333333333333,0.692307692307692
"277","1018","softimpute","xgb",0.110236220472441,0.936122102882985
"278","1018","softimpute","log_reg",0.036036036036036,0.939513849632561
"279","1018","softimpute","svm",0,0.939513849632561
"280","1018","softimpute","rf",0,0.938948558507631
"281","1590","softimpute","xgb",0.905143875732111,0.847476712048316
"282","1590","softimpute","log_reg",0.901040345090079,0.840311188453271
"283","1590","softimpute","svm",0.90505232072928,0.848602722898966
"284","1590","softimpute","rf",0.911832946635731,0.859965196028253
"285","1590","missmda","xgb",0.907907332950412,0.852287849319275
"286","1590","missmda","log_reg",0.900706061955346,0.840208823830484
"287","1590","missmda","svm",0.906193780519147,0.850547650731907
"288","1590","missmda","rf",0.91178555319286,0.859862831405466
"289","41278","softimpute","xgb",0.884467106081333,0.797647571335221
"290","41278","softimpute","log_reg",0.887056683843589,0.797103027662819
"291","41278","softimpute","svm",0.887203446392816,0.797538662600741
"292","41278","softimpute","rf",0.887913446676971,0.802548464386844
"293","41278","missmda","xgb",0.882546379599181,0.793835765628403
"294","41278","missmda","log_reg",0.887042987934275,0.797103027662819
"295","41278","missmda","svm",0.88794101517275,0.799716837290351
"296","41278","missmda","rf",0.871601305098842,0.781420169897626
