"","dataset","method","algorithm","F1","acc"
"49","27","missmda","log_reg","0.666666666666667","0.810810810810811"
"50","27","missmda","svm","NaN","0.702702702702703"
"51","27","missmda","rf","0.75","0.837837837837838"
"52","29","median","xgb","0.863309352517986","0.86231884057971"
"53","29","median","log_reg","0.861111111111111","0.855072463768116"
"54","29","median","svm","0.699507389162562","0.557971014492754"
"55","29","median","rf","0.884353741496599","0.876811594202899"
"56","29","softimpute","xgb","0.846787479406919","0.831521739130435"
"57","29","softimpute","log_reg","0.896103896103896","0.884057971014493"
"58","29","softimpute","svm","0.738974970202622","0.603260869565217"
"59","29","softimpute","rf","0.919937205651491","0.907608695652174"
"60","29","missmda","xgb","0.858974358974359","0.840579710144927"
"61","29","missmda","log_reg","0.860759493670886","0.840579710144927"
"62","29","missmda","svm","0.729857819905213","0.58695652173913"
"63","29","missmda","rf","0.853658536585366","0.826086956521739"
"64","38","median","xgb","0.987341772151899","0.976158940397351"
"65","38","median","log_reg","0.96814404432133","0.939072847682119"
"66","38","median","svm","0.966461327857632","0.935099337748344"
"67","38","median","rf","0.994358251057828","0.989403973509934"
"68","38","softimpute","xgb","0.98903431199151","0.979449784554193"
"69","38","softimpute","log_reg","0.972954349698536","0.947961551209811"
"70","38","softimpute","svm","0.9688995215311","0.939675174013921"
"71","38","softimpute","rf","0.990680499384561","0.982432880344713"
"72","4","softimpute","xgb","0.777777777777778","0.822222222222222"
"73","4","softimpute","log_reg","0.941176470588235","0.955555555555556"
"74","4","softimpute","svm","NaN","0.622222222222222"
"75","4","softimpute","rf","0.903225806451613","0.933333333333333"
"76","40536","median","xgb","1","1"
"77","40536","median","log_reg","1","1"
"78","40536","median","svm","0.909918699186992","0.83472553699284"
"79","40536","median","rf","1","1"
"80","40536","softimpute","xgb","1","1"
"81","40536","softimpute","log_reg","1","1"
"82","40536","softimpute","svm","0.910332493293228","0.83542226201134"
"83","40536","softimpute","rf","0.99892952720785","0.998209489704566"
"84","40536","missmda","xgb","1","1"
"85","40536","missmda","log_reg","0.997504456327986","0.99582338902148"
"86","40536","missmda","svm","0.909918699186992","0.83472553699284"
"87","40536","missmda","rf","1","1"
"88","55","median","xgb","0.25","0.806451612903226"
"89","55","median","log_reg","0.5","0.870967741935484"
"90","55","median","svm","NaN","0.870967741935484"
"91","55","median","rf","0.444444444444444","0.838709677419355"
"92","55","softimpute","xgb","0.571428571428571","0.806451612903226"
"93","55","softimpute","log_reg","0.679245283018868","0.862903225806452"
"94","55","softimpute","svm","NaN","0.774193548387097"
"95","55","softimpute","rf","0.604651162790698","0.862903225806452"
"96","55","missmda","xgb","0.25","0.806451612903226"
"97","55","missmda","log_reg","0.5","0.870967741935484"
"98","55","missmda","svm","NaN","0.870967741935484"
"99","55","missmda","rf","0.5","0.870967741935484"
"100","56","median","xgb","0.943396226415094","0.931034482758621"
"101","56","median","log_reg","0.97029702970297","0.96551724137931"
"102","56","median","svm","0.82258064516129","0.747126436781609"
"103","56","median","rf","0.97029702970297","0.96551724137931"
"104","56","missmda","xgb","0.912621359223301","0.896551724137931"
"105","56","missmda","log_reg","0.96078431372549","0.954022988505747"
"106","56","missmda","svm","0.82258064516129","0.747126436781609"
"107","56","missmda","rf","0.970873786407767","0.96551724137931"
"108","6332","median","xgb","0.608695652173913","0.666666666666667"
"109","6332","median","log_reg","0.531645569620253","0.657407407407407"
"110","6332","median","svm","NaN","0.601851851851852"
"111","6332","median","rf","0.795454545454546","0.833333333333333"
"112","6332","softimpute","xgb","0.653295128939828","0.719907407407407"
"113","6332","softimpute","log_reg","0.642253521126761","0.706018518518518"
"114","6332","softimpute","svm","1","1"
"115","6332","softimpute","rf","0.981132075471698","0.983796296296296"
"116","6332","missmda","xgb","0.40506329113924","0.564814814814815"
"117","6332","missmda","log_reg","0.56","0.694444444444444"
"118","6332","missmda","svm","NaN","0.601851851851852"
"119","6332","missmda","rf","0.666666666666667","0.75"
"120","944","median","xgb","0.583333333333333","0.615384615384615"
"121","944","median","log_reg","0.774193548387097","0.730769230769231"
"122","944","median","svm","0.545454545454546","0.615384615384615"
"123","944","median","rf","0.785714285714286","0.769230769230769"
"124","944","softimpute","xgb","0.328358208955224","0.567307692307692"
"125","944","softimpute","log_reg","0.844827586206897","0.826923076923077"
"126","944","softimpute","svm","0.962962962962963","0.961538461538462"
"127","944","softimpute","rf","0.97196261682243","0.971153846153846"
"128","944","missmda","xgb","0.8","0.769230769230769"
"129","944","missmda","log_reg","0.774193548387097","0.730769230769231"
"130","944","missmda","svm","0.615384615384615","0.615384615384615"
"131","944","missmda","rf","0.733333333333333","0.692307692307692"
"132","1018","median","xgb","0.0695652173913043","0.939513849632561"
