"","Dataset","Method","Acc","Auc","Recall","Precision","Time"
"1","1018","median","0.939513849632561","0.5","1","0.939513849632561","0.100083351135254"
"2","1018","mice","0.938383267382702","0.836150567383065","0.994584837545126","0.942954934398175","2.47858992815018"
"3","1590","median","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","0.053861141204834"
"4","1590","mice","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","37.9375145435333"
